mosquito numb,CFUs,Strain,Replicate,Sex
1,179,RFP,Replicate1,Male
2,9,RFP,Replicate1,Male
3,24,RFP,Replicate1,Male
4,149,RFP,Replicate1,Male
5,57,RFP,Replicate1,Male
6,27,RFP,Replicate1,Male
7,65,RFP,Replicate1,Male
8,44,RFP,Replicate1,Male
9,49,RFP,Replicate1,Male
10,155,RFP,Replicate1,Male
11,170,RFP,Replicate1,Male
12,177,RFP,Replicate1,Male
13,112,RFP,Replicate1,Male
14,92,RFP,Replicate1,Male
15,98,RFP,Replicate1,Male
16,111,RFP,Replicate1,Male
17,132,RFP,Replicate1,Male
18,144,RFP,Replicate1,Male
19,89,RFP,Replicate1,Male
20,93,RFP,Replicate1,Male
21,92,RFP,Replicate1,Male
22,19,RFP,Replicate1,Male
23,27,RFP,Replicate1,Male
24,69,RFP,Replicate1,Male
25,74,RFP,Replicate1,Male
1,89,Hybrid,Replicate1,Male
2,123,Hybrid,Replicate1,Male
3,98,Hybrid,Replicate1,Male
4,105,Hybrid,Replicate1,Male
5,168,Hybrid,Replicate1,Male
6,47,Hybrid,Replicate1,Male
7,72,Hybrid,Replicate1,Male
8,47,Hybrid,Replicate1,Male
9,18,Hybrid,Replicate1,Male
10,29,Hybrid,Replicate1,Male
11,49,Hybrid,Replicate1,Male
12,153,Hybrid,Replicate1,Male
13,97,Hybrid,Replicate1,Male
14,124,Hybrid,Replicate1,Male
15,106,Hybrid,Replicate1,Male
16,176,Hybrid,Replicate1,Male
17,55,Hybrid,Replicate1,Male
18,141,Hybrid,Replicate1,Male
19,115,Hybrid,Replicate1,Male
20,97,Hybrid,Replicate1,Male
21,202,Hybrid,Replicate1,Male
22,63,Hybrid,Replicate1,Male
23,78,Hybrid,Replicate1,Male
24,86,Hybrid,Replicate1,Male
25,135,Hybrid,Replicate1,Male
1,122,RFP,Replicate2,Male
2,97,RFP,Replicate2,Male
3,54,RFP,Replicate2,Male
4,189,RFP,Replicate2,Male
5,174,RFP,Replicate2,Male
6,121,RFP,Replicate2,Male
7,170,RFP,Replicate2,Male
8,208,RFP,Replicate2,Male
9,12,RFP,Replicate2,Male
10,205,RFP,Replicate2,Male
11,107,RFP,Replicate2,Male
12,23,RFP,Replicate2,Male
13,29,RFP,Replicate2,Male
14,48,RFP,Replicate2,Male
15,102,RFP,Replicate2,Male
16,36,RFP,Replicate2,Male
17,48,RFP,Replicate2,Male
18,148,RFP,Replicate2,Male
19,123,RFP,Replicate2,Male
20,114,RFP,Replicate2,Male
21,87,RFP,Replicate2,Male
22,90,RFP,Replicate2,Male
23,25,RFP,Replicate2,Male
24,97,RFP,Replicate2,Male
25,99,RFP,Replicate2,Male
1,67,Hybrid,Replicate2,Male
2,116,Hybrid,Replicate2,Male
3,124,Hybrid,Replicate2,Male
4,119,Hybrid,Replicate2,Male
5,12,Hybrid,Replicate2,Male
6,70,Hybrid,Replicate2,Male
7,59,Hybrid,Replicate2,Male
8,137,Hybrid,Replicate2,Male
9,17,Hybrid,Replicate2,Male
10,27,Hybrid,Replicate2,Male
11,97,Hybrid,Replicate2,Male
12,181,Hybrid,Replicate2,Male
13,95,Hybrid,Replicate2,Male
14,141,Hybrid,Replicate2,Male
15,148,Hybrid,Replicate2,Male
16,159,Hybrid,Replicate2,Male
17,117,Hybrid,Replicate2,Male
18,154,Hybrid,Replicate2,Male
19,187,Hybrid,Replicate2,Male
20,187,Hybrid,Replicate2,Male
21,174,Hybrid,Replicate2,Male
22,68,Hybrid,Replicate2,Male
23,157,Hybrid,Replicate2,Male
24,75,Hybrid,Replicate2,Male
25,39,Hybrid,Replicate2,Male
1,196,RFP,Replicate3,Male
2,23,RFP,Replicate3,Male
3,144,RFP,Replicate3,Male
4,191,RFP,Replicate3,Male
5,151,RFP,Replicate3,Male
6,85,RFP,Replicate3,Male
7,22,RFP,Replicate3,Male
8,21,RFP,Replicate3,Male
9,91,RFP,Replicate3,Male
10,151,RFP,Replicate3,Male
11,172,RFP,Replicate3,Male
12,176,RFP,Replicate3,Male
13,108,RFP,Replicate3,Male
14,21,RFP,Replicate3,Male
15,181,RFP,Replicate3,Male
16,194,RFP,Replicate3,Male
17,131,RFP,Replicate3,Male
18,142,RFP,Replicate3,Male
19,91,RFP,Replicate3,Male
20,98,RFP,Replicate3,Male
21,92,RFP,Replicate3,Male
22,29,RFP,Replicate3,Male
23,214,RFP,Replicate3,Male
24,20,RFP,Replicate3,Male
25,16,RFP,Replicate3,Male
1,24,Hybrid,Replicate3,Male
2,134,Hybrid,Replicate3,Male
3,152,Hybrid,Replicate3,Male
4,93,Hybrid,Replicate3,Male
5,109,Hybrid,Replicate3,Male
6,205,Hybrid,Replicate3,Male
7,151,Hybrid,Replicate3,Male
8,66,Hybrid,Replicate3,Male
9,191,Hybrid,Replicate3,Male
10,151,Hybrid,Replicate3,Male
11,189,Hybrid,Replicate3,Male
12,125,Hybrid,Replicate3,Male
13,93,Hybrid,Replicate3,Male
14,174,Hybrid,Replicate3,Male
15,16,Hybrid,Replicate3,Male
16,109,Hybrid,Replicate3,Male
17,117,Hybrid,Replicate3,Male
18,29,Hybrid,Replicate3,Male
19,31,Hybrid,Replicate3,Male
20,136,Hybrid,Replicate3,Male
21,96,Hybrid,Replicate3,Male
22,126,Hybrid,Replicate3,Male
23,103,Hybrid,Replicate3,Male
24,197,Hybrid,Replicate3,Male
25,22,Hybrid,Replicate3,Male
1,7,RFP,Replicate1,Female
2,23,RFP,Replicate1,Female
3,24,RFP,Replicate1,Female
4,26,RFP,Replicate1,Female
5,8,RFP,Replicate1,Female
6,11,RFP,Replicate1,Female
7,22,RFP,Replicate1,Female
8,0,RFP,Replicate1,Female
9,7,RFP,Replicate1,Female
10,0,RFP,Replicate1,Female
11,14,RFP,Replicate1,Female
12,16,RFP,Replicate1,Female
13,9,RFP,Replicate1,Female
14,0,RFP,Replicate1,Female
15,14,RFP,Replicate1,Female
16,13,RFP,Replicate1,Female
17,16,RFP,Replicate1,Female
18,1,RFP,Replicate1,Female
19,14,RFP,Replicate1,Female
20,9,RFP,Replicate1,Female
21,8,RFP,Replicate1,Female
22,7,RFP,Replicate1,Female
23,4,RFP,Replicate1,Female
24,11,RFP,Replicate1,Female
25,16,RFP,Replicate1,Female
1,0,Hybrid,Replicate1,Female
2,2,Hybrid,Replicate1,Female
3,13,Hybrid,Replicate1,Female
4,22,Hybrid,Replicate1,Female
5,18,Hybrid,Replicate1,Female
6,12,Hybrid,Replicate1,Female
7,20,Hybrid,Replicate1,Female
8,3,Hybrid,Replicate1,Female
9,16,Hybrid,Replicate1,Female
10,20,Hybrid,Replicate1,Female
11,4,Hybrid,Replicate1,Female
12,0,Hybrid,Replicate1,Female
13,17,Hybrid,Replicate1,Female
14,6,Hybrid,Replicate1,Female
15,0,Hybrid,Replicate1,Female
16,0,Hybrid,Replicate1,Female
17,10,Hybrid,Replicate1,Female
18,5,Hybrid,Replicate1,Female
19,8,Hybrid,Replicate1,Female
20,9,Hybrid,Replicate1,Female
21,2,Hybrid,Replicate1,Female
22,2,Hybrid,Replicate1,Female
23,13,Hybrid,Replicate1,Female
24,7,Hybrid,Replicate1,Female
25,12,Hybrid,Replicate1,Female
1,11,RFP,Replicate2,Female
2,0,RFP,Replicate2,Female
3,19,RFP,Replicate2,Female
4,22,RFP,Replicate2,Female
5,13,RFP,Replicate2,Female
6,0,RFP,Replicate2,Female
7,4,RFP,Replicate2,Female
8,5,RFP,Replicate2,Female
9,9,RFP,Replicate2,Female
10,22,RFP,Replicate2,Female
11,4,RFP,Replicate2,Female
12,0,RFP,Replicate2,Female
13,0,RFP,Replicate2,Female
14,8,RFP,Replicate2,Female
15,0,RFP,Replicate2,Female
16,0,RFP,Replicate2,Female
17,12,RFP,Replicate2,Female
18,15,RFP,Replicate2,Female
19,0,RFP,Replicate2,Female
20,12,RFP,Replicate2,Female
21,5,RFP,Replicate2,Female
22,2,RFP,Replicate2,Female
23,16,RFP,Replicate2,Female
24,0,RFP,Replicate2,Female
25,22,RFP,Replicate2,Female
1,5,Hybrid,Replicate2,Female
2,19,Hybrid,Replicate2,Female
3,17,Hybrid,Replicate2,Female
4,15,Hybrid,Replicate2,Female
5,16,Hybrid,Replicate2,Female
6,15,Hybrid,Replicate2,Female
7,20,Hybrid,Replicate2,Female
8,19,Hybrid,Replicate2,Female
9,7,Hybrid,Replicate2,Female
10,7,Hybrid,Replicate2,Female
11,12,Hybrid,Replicate2,Female
12,18,Hybrid,Replicate2,Female
13,0,Hybrid,Replicate2,Female
14,3,Hybrid,Replicate2,Female
15,0,Hybrid,Replicate2,Female
16,18,Hybrid,Replicate2,Female
17,24,Hybrid,Replicate2,Female
18,8,Hybrid,Replicate2,Female
19,0,Hybrid,Replicate2,Female
20,0,Hybrid,Replicate2,Female
21,0,Hybrid,Replicate2,Female
22,14,Hybrid,Replicate2,Female
23,16,Hybrid,Replicate2,Female
24,22,Hybrid,Replicate2,Female
25,13,Hybrid,Replicate2,Female
1,6,RFP,Replicate3,Female
2,11,RFP,Replicate3,Female
3,13,RFP,Replicate3,Female
4,0,RFP,Replicate3,Female
5,0,RFP,Replicate3,Female
6,21,RFP,Replicate3,Female
7,8,RFP,Replicate3,Female
8,10,RFP,Replicate3,Female
9,10,RFP,Replicate3,Female
10,4,RFP,Replicate3,Female
11,14,RFP,Replicate3,Female
12,0,RFP,Replicate3,Female
13,21,RFP,Replicate3,Female
14,0,RFP,Replicate3,Female
15,22,RFP,Replicate3,Female
16,4,RFP,Replicate3,Female
17,0,RFP,Replicate3,Female
18,0,RFP,Replicate3,Female
19,8,RFP,Replicate3,Female
20,0,RFP,Replicate3,Female
21,0,RFP,Replicate3,Female
22,12,RFP,Replicate3,Female
23,12,RFP,Replicate3,Female
24,5,RFP,Replicate3,Female
25,2,RFP,Replicate3,Female
1,8,Hybrid,Replicate3,Female
2,7,Hybrid,Replicate3,Female
3,6,Hybrid,Replicate3,Female
4,7,Hybrid,Replicate3,Female
5,5,Hybrid,Replicate3,Female
6,6,Hybrid,Replicate3,Female
7,16,Hybrid,Replicate3,Female
8,0,Hybrid,Replicate3,Female
9,17,Hybrid,Replicate3,Female
10,13,Hybrid,Replicate3,Female
11,19,Hybrid,Replicate3,Female
12,22,Hybrid,Replicate3,Female
13,0,Hybrid,Replicate3,Female
14,3,Hybrid,Replicate3,Female
15,0,Hybrid,Replicate3,Female
16,8,Hybrid,Replicate3,Female
17,4,Hybrid,Replicate3,Female
18,0,Hybrid,Replicate3,Female
19,12,Hybrid,Replicate3,Female
20,15,Hybrid,Replicate3,Female
21,0,Hybrid,Replicate3,Female
22,12,Hybrid,Replicate3,Female
23,5,Hybrid,Replicate3,Female
24,6,Hybrid,Replicate3,Female
25,12,Hybrid,Replicate3,Female
